roll,pitch,yaw,ax,ay,az,gx,gy,gz
17,14,16,-0.08,-0.5,-0.9,74.65,9.95,-10.44
22,21,17,-0.1,-0.5,-0.9,72.02,5,-12.88
27,29,18,-0.11,-0.55,-0.92,67.75,5.31,-14.4
30,39,20,-0.13,-0.61,-0.95,63.05,6.96,-10.25
33,47,21,-0.07,-0.59,-0.94,59.45,7.45,-10.62
35,52,23,-0.02,-0.49,-0.93,56.09,5.31,-10.25
38,56,25,-0.09,-0.45,-0.9,53.47,2.81,-8.85
42,60,27,-0.11,-0.48,-0.89,50.66,1.77,-12.27
45,64,29,-0.09,-0.51,-0.88,50.23,2.44,-12.76
48,66,33,-0.12,-0.52,-0.91,50.6,3.42,-10.86
50,68,36,-0.06,-0.5,-0.92,52,5.68,-11.6
52,69,39,-0.09,-0.52,-0.95,50.66,7.75,-11.96
54,71,42,-0.07,-0.43,-0.93,48.65,8.97,-14.04
55,72,43,-0.12,-0.43,-0.93,44.43,2.32,-11.78
56,73,45,-0.14,-0.46,-0.93,42.72,2.69,-9.03
56,74,46,-0.11,-0.48,-0.95,41.32,8.48,-10.56
57,74,47,-0.14,-0.45,-0.94,39.61,8.06,-11.23
57,74,48,-0.15,-0.43,-0.96,37.29,4.27,-8.54
57,75,49,-0.13,-0.43,-0.95,36.38,4.82,-7.32
57,75,50,-0.12,-0.41,-0.99,35.03,3.66,-7.57
58,75,50,-0.17,-0.43,-1,37.35,2.32,-7.39
58,76,52,-0.09,-0.42,-0.95,38.45,4.39,-9.64
58,76,53,-0.13,-0.42,-0.96,35.1,0.18,-8.54
59,78,54,-0.14,-0.43,-0.97,29.3,-0.49,-5.43
61,79,55,-0.13,-0.46,-0.96,27.71,0.92,-5
63,80,56,-0.13,-0.38,-0.99,23.86,1.71,-4.21
64,80,58,-0.12,-0.38,-0.95,23.01,-1.22,-3.66
66,81,59,-0.12,-0.41,-0.95,23.74,-1.04,-2.5
67,81,60,-0.12,-0.4,-0.98,23.44,-3.48,-2.93
67,82,61,-0.13,-0.38,-0.95,23.13,-9.4,-6.23
68,82,61,-0.16,-0.41,-0.95,19.65,-2.87,-4.7
68,82,62,-0.16,-0.37,-0.93,20.51,0.55,-4.27
68,82,62,-0.16,-0.37,-0.93,20.32,-0.55,-2.38
68,82,63,-0.15,-0.36,-0.95,21,0.37,-2.2
68,82,64,-0.12,-0.37,-0.96,19.96,-0.24,-2.62
68,82,64,-0.12,-0.38,-0.98,19.96,-0.24,-2.62
68,82,65,-0.12,-0.38,-0.98,18.8,0,-2.26
68,82,65,-0.11,-0.37,-0.97,16.6,-0.18,-2.14
68,82,66,-0.13,-0.37,-0.97,14.53,-0.98,-1.71
68,82,66,-0.12,-0.36,-0.96,13.24,-0.43,-1.46
68,82,66,-0.12,-0.36,-0.96,12.63,-0.73,-1.16
