roll,pitch,yaw,ax,ay,az,gx,gy,gz
68,82,67,-0.12,-0.36,-0.97,12.39,-0.73,-1.04
68,82,68,-0.12,-0.36,-0.97,12.02,-0.37,-0.85
69,82,68,-0.11,-0.36,-0.96,11.66,0.18,-0.92
69,83,68,-0.12,-0.35,-0.97,10.8,-0.55,-0.79
70,83,69,-0.12,-0.36,-0.97,10.5,-0.49,-0.49
70,83,69,-0.12,-0.36,-0.98,10.01,-0.49,-0.31
71,83,69,-0.11,-0.36,-0.97,9.7,-0.73,0
71,83,69,-0.1,-0.36,-0.95,8.97,-1.53,-0.06
71,83,70,-0.12,-0.35,-0.98,8,-2.69,0
71,83,70,-0.11,-0.36,-0.96,8.24,-2.2,0.06
71,84,70,-0.11,-0.35,-0.97,7.87,-2.56,0.18
72,84,70,-0.12,-0.34,-0.97,7.08,-2.81,0.06
72,84,70,-0.12,-0.34,-0.97,7.45,-1.95,0.06
71,83,70,-0.12,-0.35,-0.98,7.87,-1.4,0.24
71,83,70,-0.12,-0.35,-0.99,7.39,-1.04,0.18
72,83,70,-0.11,-0.35,-0.98,6.77,-0.92,0.18
72,84,70,-0.11,-0.35,-0.98,5.62,-1.1,0.12
72,84,70,-0.11,-0.35,-0.97,4.82,-1.53,0.12
72,84,70,-0.11,-0.34,-0.97,4.58,-1.71,0.37
72,84,70,-0.11,-0.34,-0.98,4.52,-1.59,0.49
72,84,71,-0.11,-0.34,-0.98,3.97,-1.34,0.37
72,84,71,-0.11,-0.34,-0.98,3.36,-1.1,0.31
72,84,71,-0.1,-0.34,-0.97,3.42,-1.16,0.24
72,84,71,-0.11,-0.35,-0.97,3.42,-0.92,0.24
72,84,71,-0.11,-0.35,-0.97,3.3,-0.73,0.06
72,84,71,-0.11,-0.35,-0.97,3.48,-0.79,0
73,84,71,-0.11,-0.35,-0.97,3.11,-0.98,-0.24
73,84,71,-0.11,-0.35,-0.98,3.05,-0.85,0
73,84,71,-0.11,-0.35,-0.97,2.87,-0.73,0
73,84,71,-0.1,-0.34,-0.98,2.93,-0.61,-0.12
73,84,71,-0.1,-0.35,-0.98,3.23,-0.55,-0.24
73,84,71,-0.1,-0.34,-0.96,3.85,-0.06,-0.31
73,84,71,-0.1,-0.34,-0.97,3.23,-0.43,-0.49
73,84,71,-0.11,-0.35,-0.97,3.42,0.24,-0.37
73,84,71,-0.1,-0.35,-0.97,3.91,0.49,-0.37
73,84,71,-0.1,-0.35,-0.97,4.09,0.37,-0.43
73,84,71,-0.1,-0.35,-0.97,5,0.49,-0.61
73,84,71,-0.1,-0.35,-0.97,6.1,0.79,-0.61
73,84,71,-0.11,-0.35,-0.96,6.1,0.79,-0.61
73,84,71,-0.1,-0.35,-0.96,6.71,0.79,-0.67
73,84,71,-0.11,-0.33,-0.97,7.63,0.98,-0.55
73,84,71,-0.11,-0.34,-0.97,8.67,0.73,-0.73
73,84,71,-0.1,-0.35,-0.97,9.22,1.04,-0.67
73,84,71,-0.11,-0.33,-0.98,9.22,0.92,-0.49
73,84,71,-0.11,-0.33,-0.97,10.13,0.55,-0.73
73,84,71,-0.11,-0.34,-0.97,10.5,0.37,-0.98
73,84,71,-0.12,-0.32,-0.97,10.93,0.55,-0.73
73,84,71,-0.12,-0.32,-0.98,10.93,0.18,-0.24
73,84,71,-0.11,-0.32,-0.98,11.47,0.06,-0.31
73,84,71,-0.11,-0.33,-0.99,10.99,-0.06,-0.43
73,84,71,-0.13,-0.33,-0.99,10.31,-0.06,-0.49
73,84,71,-0.11,-0.32,-1,8.06,-0.12,-0.67
73,84,71,-0.12,-0.32,-0.98,8.06,0.49,0.31
73,84,71,-0.11,-0.32,-0.98,7.02,0.06,0.43
72,84,72,-0.12,-0.33,-1.01,4.09,-0.24,0.43
