roll,pitch,yaw,ax,ay,az,gx,gy,gz
-24,82,0,0.09,-0.31,0.9,11.23,-3.42,-13.18
-27,82,-15,0.08,-0.31,0.9,11.11,-3.23,-13.18
-29,82,-29,0.08,-0.31,0.89,10.31,-3.42,-13.43
-30,82,-36,0.08,-0.31,0.88,8.91,-3.66,-13.67
-32,82,-42,0.09,-0.31,0.87,8.48,-4.21,-13.43
-33,83,-47,0.09,-0.32,0.88,8.61,-4.88,-12.94
-35,83,-50,0.1,-0.34,0.89,8.36,-5.19,-12.39
-38,83,-53,0.11,-0.34,0.89,8.12,-5.8,-12.15
-41,83,-54,0.12,-0.34,0.89,8.79,-6.23,-11.54
-43,83,-55,0.13,-0.36,0.89,11.17,-6.16,-10.01
-45,83,-56,0.13,-0.37,0.89,12.57,-5.43,-8.3
-46,83,-56,0.13,-0.37,0.91,12.82,-4.82,-7.69
-48,83,-57,0.12,-0.37,0.91,13.18,-4.94,-7.14
-49,83,-57,0.12,-0.38,0.92,12.88,-5.74,-7.2
-51,83,-57,0.12,-0.39,0.91,11.9,-6.96,-7.57
-54,83,-58,0.12,-0.39,0.91,12.27,-8.97,-7.2
-58,83,-58,0.13,-0.39,0.92,12.94,-11.17,-6.84
-62,83,-59,0.13,-0.4,0.92,13.18,-13.24,-6.84
-64,83,-60,0.13,-0.42,0.93,14.04,-14.65,-7.39
-65,83,-60,0.12,-0.42,0.95,15.75,-15.14,-7.69
-66,83,-61,0.12,-0.43,0.95,17.76,-15.75,-8.54
-67,83,-61,0.12,-0.44,0.95,19.04,-15.87,-9.58
-67,83,-62,0.11,-0.45,0.94,19.29,-16.78,-11.6
-67,83,-62,0.1,-0.45,0.93,19.78,-16.85,-13.31
-68,83,-62,0.11,-0.44,0.92,20.2,-15.56,-14.83
-68,83,-62,0.11,-0.43,0.92,19.17,-14.22,-16.85
-68,83,-62,0.11,-0.43,0.93,19.04,-15.26,-18.92
-68,83,-62,0.09,-0.43,0.94,19.84,-15.87,-20.2
-68,83,-63,0.09,-0.43,0.92,20.51,-16.05,-21.18
-69,83,-63,0.07,-0.46,0.91,20.14,-15.69,-22.28
-69,83,-63,0.05,-0.47,0.92,20.69,-15.63,-23.01
-69,83,-63,0.05,-0.49,0.93,21.12,-14.34,-24.05
